"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","outliers","cell_name","p_column","p_row","mix","H2228_prop","H1975_prop","HCC827_prop","mRNA_amount"
"L19",81976,5136,139263,11825,3310,200,23158,9004,54474,0.998017402614455,0.82132760567953,0.926258228465281,"FALSE","L19","L",19,6,0.68,0.16,0.16,30
"A10",25523,2223,55982,5610,1193,217,15678,5944,21582,0.994578815218896,0.81160226076749,0.927809782314066,"FALSE","A10","A",10,1,0.33,0.33,0.33,7.5
"A11",43820,4036,99274,10019,2583,219,22285,8214,40022,0.996876717556125,0.814252161107828,0.923092068589259,"FALSE","A11","A",11,1,0.33,0.33,0.33,15
"A12",56199,5201,130996,13138,3373,298,29834,8753,48213,0.996909547010783,0.813390579135629,0.920456947201596,"FALSE","A12","A",12,1,0.33,0.33,0.33,15
"A13",46307,4206,104768,10144,2479,235,24891,7995,38447,0.996956849429876,0.80656488131543,0.921033911349673,"FALSE","A13","A",13,1,0.33,0.33,0.33,15
"A14",55039,5194,125132,12248,2914,279,30784,8528,46136,0.997095543394075,0.808869429337422,0.919867149326524,"FALSE","A14","A",14,1,0.33,0.33,0.33,15
"A15",48679,4154,103433,10345,2506,249,28200,7706,37062,0.996843127462942,0.806891155143573,0.922346089702097,"FALSE","A15","A",15,1,0.33,0.33,0.33,15
"A16",43761,4000,95476,8913,2387,235,23557,7846,37867,0.996778197111792,0.803760530064763,0.923072616507086,"FALSE","A16","A",16,1,0.33,0.33,0.33,15
"A18",83283,7817,200756,20256,5006,287,55240,9876,67274,0.998082468561691,0.810981954274908,0.924413454765072,"FALSE","A18","A",18,1,0.33,0.33,0.33,30
"A19",92508,8368,209190,20379,5096,344,45502,10282,75067,0.997695391983469,0.815471512007211,0.922762209391316,"FALSE","A19","A",19,1,0.33,0.33,0.33,30
"M19",113606,12150,279890,30117,7608,273,61333,11406,97293,0.99859188214994,0.816358833542356,0.922049795766417,"FALSE","M19","M",19,7,0.16,0.68,0.16,30
"A20",105720,10249,249419,24531,6223,227,59544,10685,85354,0.998699533589674,0.812920308267577,0.923084925945483,"FALSE","A20","A",20,1,0.33,0.33,0.33,30
"A21",97015,9246,229371,23259,5942,162,55541,10395,78263,0.998862808607022,0.813730626117868,0.923054198912104,"FALSE","A21","A",21,1,0.33,0.33,0.33,30
"A3",20211,1873,43034,3941,969,311,12792,5210,17747,0.99008283034311,0.789823631718136,0.924099327154264,"FALSE","A3","A",3,1,0.33,0.33,0.33,3.75
"A4",21429,1982,49519,4693,1103,247,12958,5773,20113,0.994431461743931,0.802068313626974,0.91985237415981,"FALSE","A4","A",4,1,0.33,0.33,0.33,7.5
"A5",21307,1734,43840,4251,1154,142,11997,5380,17961,0.994989142589506,0.790546182957215,0.921496062860608,"FALSE","A5","A",5,1,0.33,0.33,0.33,7.5
"A6",28657,2499,60078,5520,1416,246,17934,6412,24893,0.995380226973294,0.78945888370648,0.923954154198307,"FALSE","A6","A",6,1,0.33,0.33,0.33,7.5
